source_file,nhanes_var,units,name_status,transformation,derived_var,role,inclusion,justification
P_DEMO,SEQN,id,VERIFIED,none,seqn,key,include,Primary merge key across all NHANES files.
P_DEMO,WTINTPRP,weight,VERIFIED,none,wt_int,design,include,Full-sample interview weight; used only for interview-only descriptive checks.
P_DEMO,WTMECPRP,weight,VERIFIED,none,wt_mec,design,include,Full-sample MEC exam weight; comparator in weight-sensitivity analysis.
P_DEMO,SDMVSTRA,stratum,VERIFIED,none,strata,design,include,Masked variance pseudo-stratum; required for design-based variance.
P_DEMO,SDMVPSU,psu,VERIFIED,none,psu,design,include,Masked variance pseudo-PSU; required for design-based variance.
P_DEMO,RIDSTATR,code,EXPECTED,none,exam_status,filter,include,Interview+MEC status; MEC examination required for all outcome components.
P_DEMO,RIDAGEYR,years,VERIFIED,none,age_years,covariate,include,DAG confounder: causes both diet choice and cardiometabolic physiology. Also age>=20 inclusion filter.
P_DEMO,RIAGENDR,code,VERIFIED,factor(Male/Female),sex,covariate,include,DAG confounder; also the standardisation stratum for the composite outcome.
P_DEMO,RIDRETH3,code,VERIFIED,factor 6-level incl NH Asian,race_eth,covariate,include,DAG confounder modelled as a SOCIAL variable (proxy for structural exposures). RIDRETH3 not RIDRETH1 because NH Asian must be identifiable.
P_DEMO,DMDEDUC2,code,VERIFIED,factor 3-level (<HS/HS/>HS),education3,covariate,include,Observed child of latent SES; partially blocks the SES backdoor path.
P_DEMO,INDFMPIR,ratio,VERIFIED,continuous; topcode 5 retained,pir,covariate,include,Second observed child of latent SES; income and education capture distinct SES dimensions.
P_DEMO,RIDEXPRG,code,EXPECTED,none,pregnant,filter,include,Pregnancy exclusion; pregnancy alters every outcome biomarker.
P_DR1TOT,WTDRD1PP,weight,VERIFIED,none,wt_diet1,design,include,Day-1 dietary weight; primary weight in the pre-specified weight-sensitivity analysis.
P_DR1TOT,WTDR2DPP,weight,VERIFIED,none,wt_diet2,design,include,Two-day dietary weight; used for the replicate subsample in regression calibration.
P_DR1TOT,DR1DRSTZ,code,VERIFIED,none,recall1_status,filter,include,Recall reliability flag; only status==1 (reliable and met minimum criteria) is analysable.
P_DR1TOT,DR1DAY,code,VERIFIED,factor weekend/weekday,recall1_day,covariate,include,Cause of MEASURED exposure only (no arrow to outcome). Enters the calibration model to reduce exposure error variance.
P_DR1TOT,DR1TKCAL,kcal/day,EXPECTED,continuous,energy1_kcal,covariate,include,DAG confounder AND the conditioning variable that makes substitution models isocaloric. Dual justification.
P_DR2TOT,DR2DRSTZ,code,EXPECTED,none,recall2_status,filter,include,Day-2 reliability flag; defines the replicate subsample for calibration.
P_DR2TOT,DR2DAY,code,EXPECTED,factor weekend/weekday,recall2_day,covariate,include,Day-2 weekday; mode and day differ systematically between recalls and must be adjusted before estimating the reliability ratio.
P_DR2TOT,DR2TKCAL,kcal/day,EXPECTED,continuous,energy2_kcal,covariate,include,Day-2 energy; used for 2-day mean exposure and implausible-reporter screening.
P_DR1IFF,DR1IFDCD,code,VERIFIED,none,food_code1,key,include,USDA food code; join key to FPED and to the WWEIA category crosswalk.
P_DR1IFF,DR1IGRMS,grams,VERIFIED,scale FPED by grams/100,grams1,derivation,include,FPED values are per 100 g; gram weight is required to convert to consumed pattern equivalents.
P_DR2IFF,DR2IFDCD,code,EXPECTED,none,food_code2,key,include,Day-2 food code; same join logic as day 1.
P_DR2IFF,DR2IGRMS,grams,EXPECTED,scale FPED by grams/100,grams2,derivation,include,Day-2 gram weight.
P_BMX,BMXWAIST,cm,EXPECTED,z-score within sex,waist_cm,outcome,include,Component 1 of the primary composite; central adiposity.
P_BMX,BMXBMI,kg/m2,EXPECTED,continuous,bmi,mediator,exclude_primary,DAG mediator on hPDI->Adiposity->CMD. Adjusting in the primary model would remove part of the effect of interest. Secondary mediator-adjusted model only.
P_BPXO,BPXOSY1,mmHg,VERIFIED,mean of readings 2-3,sbp_mean,outcome,include,Reading 1 discarded per convention (white-coat effect); mean of readings 2 and 3 used.
P_BPXO,BPXOSY2,mmHg,VERIFIED,mean of readings 2-3,sbp_mean,outcome,include,See BPXOSY1.
P_BPXO,BPXOSY3,mmHg,VERIFIED,mean of readings 2-3,sbp_mean,outcome,include,See BPXOSY1.
P_BPXO,BPXODI1,mmHg,VERIFIED,mean of readings 2-3,dbp_mean,outcome,include,See BPXOSY1.
P_BPXO,BPXODI2,mmHg,VERIFIED,mean of readings 2-3,dbp_mean,outcome,include,See BPXOSY1.
P_BPXO,BPXODI3,mmHg,VERIFIED,mean of readings 2-3,dbp_mean,outcome,include,See BPXOSY1.
P_BPXO,derived,mmHg,DERIVED,dbp + (sbp-dbp)/3; z within sex,map_mmhg,outcome,include,Component 2 of composite. Mean arterial pressure preferred over SBP alone: single summary, avoids double-counting correlated SBP/DBP.
P_TRIGLY,LBXTR,mg/dL,VERIFIED,natural log; z within sex,log_tg,outcome,include,Component 3 of composite. Log-transformed: right-skewed by construction.
P_TRIGLY,WTSAFPRP,weight,VERIFIED,none,wt_fast,design,include,PRIMARY analysis weight. NHANES least-common-denominator rule; fasting subsample expected to be the binding constraint (verified empirically in QC).
P_HDL,LBDHDD,mg/dL,EXPECTED,sign-reversed; z within sex,hdl_rev,outcome,include,Component 4 of composite. Sign reversed so that higher = worse, matching all other components.
P_GLU,LBXGLU,mg/dL,VERIFIED,natural log; z within sex,log_glucose,outcome,include,Component 5 of composite. Fasting glucose; log-transformed for right skew.
